game_number,move_count,score,max_tile,avg_move_time_sec
1,1874,3388,2048,0.0062503641672042795
2,1498,2148,2048,0.006929428141330367
3,1810,2924,2048,0.0065290145452509924
4,504,1056,512,0.007734115634645734
5,3282,5772,4096,0.006059387484241883
6,1449,2292,2048,0.006665816218216227
7,1870,2652,2048,0.007273488886216107
8,1781,2596,2048,0.007223149084897606
9,1163,1712,2048,0.0068874029075904645
10,1201,1796,2048,0.007209313104392884
11,1601,2108,2048,0.006917920580214072
12,2021,3164,2048,0.0065522536023426385
13,3390,6284,4096,0.006262998946648432
14,403,580,512,0.007847425067986804
15,1895,3400,2048,0.006454643410554347
16,1456,2172,2048,0.0066197714307805995
17,992,1652,1024,0.006338844135884316
18,1741,2940,2048,0.006217331396033886
19,1364,2144,2048,0.007178607749099955
20,1878,3052,2048,0.006355837511178404
21,2801,4824,4096,0.0064316231708192945
22,1261,1784,2048,0.007663648531230833
23,1262,1980,2048,0.007229018513638698
24,1473,1832,2048,0.00807119969680693
25,1293,1716,2048,0.0070575786392908174
26,1435,1932,2048,0.007354193198971632
27,1865,3108,2048,0.0063452105739481
28,995,1280,1024,0.007556086449167837
29,1846,2732,2048,0.007360063937219225
30,1532,2400,2048,0.006728860790362246
31,2805,4652,4096,0.006753144629711348
32,946,1256,1024,0.007733672416235377
33,742,1156,1024,0.009461311638515914
34,1344,1872,2048,0.006644621314037414
35,958,1048,1024,0.007823717619033846
36,2442,3404,4096,0.007338848102297771
37,1351,2388,2048,0.006760830529789674
38,2005,3224,2048,0.0070052604722857775
39,836,1012,1024,0.00728026360415956
40,727,912,1024,0.007740781592535677
41,1837,2496,2048,0.007421982567402482
42,1886,3508,2048,0.006556895732373979
43,425,484,512,0.008659389159258674
44,1959,3584,2048,0.006703703180754166
45,374,416,512,0.008003734649821398
46,2736,4496,4096,0.0065894553884428145
47,1436,2496,2048,0.00658790995483611
48,2820,4408,4096,0.006960538938535866
49,1537,2212,2048,0.007739523904387177
50,1374,2376,2048,0.006594308946156953
51,1004,1552,1024,0.007313557829989855
52,2534,4036,4096,0.006547036468277038
53,877,1096,1024,0.008055991158653963
54,3114,4984,4096,0.0066958069418513325
55,495,772,512,0.007870969868669607
56,1677,2548,2048,0.006954484420940147
57,1873,2808,2048,0.006663309337618003
58,1490,2108,2048,0.00729040075468537
59,1949,2996,2048,0.007009473196844861
60,1668,2796,2048,0.00654368077536567
61,1693,2288,2048,0.0077217527908893
62,1263,2032,2048,0.006918749918752687
63,1728,2684,2048,0.006942613257302178
64,1694,2188,2048,0.007242726041125013
65,261,440,256,0.008580827164924008
66,914,1460,1024,0.007028719528498743
67,406,628,512,0.008011514330145174
68,871,1712,1024,0.006573315466038805
69,1431,2296,2048,0.0067729106905741925
70,292,460,256,0.0073630687308638065
71,840,1048,1024,0.007251935913449242
72,109,136,64,0.00807621500907688
73,2647,3924,4096,0.006584568207426976
74,1087,2100,1024,0.00686388511447152
75,1665,2060,2048,0.007013527122703758
76,1486,2128,2048,0.007525207216614509
77,1007,1496,1024,0.006949370998848514
78,249,328,256,0.009442484522440347
79,726,1064,1024,0.008210306982035152
80,2007,3480,2048,0.006188024735652694
81,717,744,1024,0.008366790276691006
82,1605,2080,2048,0.00752181605757954
83,2856,5076,4096,0.006415670909801451
84,751,952,1024,0.007211870899530607
85,2579,3996,4096,0.00680075028276388
86,1850,2680,2048,0.007017130336245975
87,406,640,512,0.008241059744886576
88,1794,3564,2048,0.006519560032464987
89,2361,5944,4096,0.00586889073890127
90,1911,3164,2048,0.006453551527469461
91,1664,2444,2048,0.007072336255357816
92,962,1388,1024,0.007125961805331732
93,1981,3728,2048,0.006750112107039581
94,1004,1652,1024,0.007211367685006434
95,2619,4072,4096,0.006382178877910251
96,997,1316,1024,0.007541437445576476
97,1886,3016,2048,0.006662917920918631
98,268,420,256,0.009431171773084954
99,1348,1992,2048,0.007042666571076617
100,1994,2912,2048,0.006834188578958617
