game_number,move_count,score,max_tile,avg_move_time_sec
1,446,1904,512,0.008163152254215805
2,489,1600,512,0.007107492848651784
3,400,1596,512,0.008483994007110595
4,733,2296,1024,0.00672831476791819
5,463,1456,512,0.00746469569772675
6,256,1008,256,0.009012366645038128
7,279,884,256,0.00915310801570988
8,505,1940,512,0.007853833755644241
9,490,1764,512,0.007248539827307876
10,478,1640,512,0.007350435815595683
11,494,2244,512,0.007283624367192689
12,378,1264,512,0.007707584471929641
13,482,1116,512,0.007161696916793887
14,598,2168,1024,0.007729419497741904
15,467,1428,512,0.008058502536259065
16,476,1300,512,0.007596293417345576
17,552,1964,512,0.007164244634517725
18,489,1336,512,0.0074640670924586506
19,561,1612,512,0.006120405945123411
20,749,2608,1024,0.007008222776038625
21,748,3272,1024,0.005879926171532289
22,588,1608,1024,0.0071869691212972
23,459,1312,512,0.008007052677129608
24,672,3304,1024,0.006666033750488644
25,466,1652,512,0.008032930767075699
26,502,1972,512,0.008005241948769863
27,750,2908,1024,0.006852037111918132
28,840,2468,1024,0.006163864476340157
29,273,1196,256,0.008861896319267077
30,462,1384,512,0.007137565901785186
31,352,1120,256,0.007882796227931976
32,360,1732,512,0.008587990866767035
33,477,2548,512,0.008251060729756544
34,482,1404,512,0.00765949512418375
35,526,1568,512,0.007015815252586916
36,827,3104,1024,0.006795724617382635
37,467,1256,512,0.006763307644927783
38,442,1524,512,0.008289494126091175
39,507,1652,512,0.007252202701756705
40,509,1316,512,0.006464367531137522
41,727,2636,1024,0.006957720529590381
42,390,1204,512,0.008998535229609562
43,503,1540,512,0.007067011554482917
44,709,2268,1024,0.006227963061527742
45,796,2176,1024,0.006448608247479002
46,474,1792,512,0.0078980057551388
47,482,1808,512,0.007148778784819163
48,450,1624,512,0.008042445182800293
49,504,1980,512,0.007459210497992379
50,427,1308,512,0.007407695962338593
51,436,1584,512,0.00742056829120041
52,264,700,256,0.008489889628959425
53,688,2540,1024,0.006717634408972984
54,469,2348,512,0.007829995551851512
55,482,1696,512,0.007601188426195833
56,319,1172,256,0.008390649359054326
57,729,3992,1024,0.006985458653977215
58,889,3048,1024,0.005872490435536989
59,307,1100,256,0.008728369827767537
60,514,2024,512,0.007467270361310313
61,487,1616,512,0.007705964102147786
62,493,1872,512,0.007566998986636891
63,470,1308,512,0.0070408795742278405
64,605,2300,1024,0.007443222723716547
65,260,824,256,0.00783997499025785
66,768,2144,1024,0.0065195246910055476
67,634,2096,1024,0.0065053069629127675
68,463,1656,512,0.0076726981424615915
69,280,768,256,0.008714162451880319
70,495,1556,512,0.0073746098412407765
71,734,2024,1024,0.006414730152577081
72,415,1352,512,0.0076322992163968375
73,501,1612,512,0.0079303458779158
74,663,2368,1024,0.007143527673919816
75,477,1272,512,0.007222192092511639
76,748,2300,1024,0.006450247637090836
77,251,628,256,0.008222020479787394
78,286,916,256,0.008707258251163509
79,943,2900,1024,0.005580844454396188
80,474,1688,512,0.007429220505404573
81,703,3900,1024,0.007065089634099014
82,370,988,512,0.007968828484818741
83,607,1980,1024,0.006833766201968248
84,258,580,256,0.009269778118577114
85,411,1624,512,0.007408661273854202
86,257,668,256,0.008913627394442429
87,441,1256,512,0.007304945770575076
88,468,1608,512,0.007152003100794605
89,720,1760,1024,0.006754593385590447
90,369,1548,512,0.007512160433017142
91,473,1680,512,0.00701194787378291
92,488,1588,512,0.006841862299403206
93,523,1608,512,0.00686897237715712
94,475,1492,512,0.00667719891196803
95,352,1404,256,0.007205931300466711
96,458,1484,512,0.008123198971477659
97,447,1256,512,0.00768599734210328
98,513,2072,512,0.0073208860021817986
99,847,3584,1024,0.006083171511203086
100,493,1564,512,0.007100798295429222
