game_number,move_count,score,max_tile,avg_move_time_sec
1,50,248,64,0.03377606391906738
2,59,308,64,0.03208665120399604
3,79,560,128,0.033058471317532694
4,29,104,32,0.03553425854650037
5,51,260,64,0.030733748978259517
6,43,224,64,0.034830731014872704
7,43,240,64,0.034557830455691316
8,28,112,32,0.03855093887874058
9,55,336,64,0.03756515329534357
10,28,100,32,0.03439087527138846
11,49,264,64,0.03286959200489278
12,27,104,32,0.03428290508411549
13,58,304,64,0.029400097912755507
14,42,216,64,0.029748048101152693
15,47,252,64,0.03138873424935848
16,28,120,32,0.030538320541381836
17,41,224,64,0.0314017447029672
18,59,312,64,0.03189377057350288
19,54,296,64,0.034956035790620024
20,51,260,64,0.03237190433576995
21,42,212,64,0.03598125207991827
22,54,304,64,0.037333272121570726
23,41,216,64,0.03588837530554795
24,57,308,64,0.038399817650778253
25,49,260,64,0.03170758850720464
26,43,224,64,0.03893062680266624
27,55,304,64,0.037115990031849254
28,43,240,64,0.03281504608864008
29,39,248,64,0.0300906438093919
30,59,292,64,0.03402318388728772
31,54,308,64,0.031841666610152634
32,56,292,64,0.03084353038242885
33,44,256,64,0.03186098553917625
34,28,100,32,0.03298326901027134
35,25,92,32,0.0342490291595459
36,58,308,64,0.03171716887375404
37,55,284,64,0.03463808406483043
38,52,280,64,0.029918688994187575
39,46,240,64,0.03519553205241328
40,40,248,64,0.02880973219871521
41,50,284,64,0.03218801498413086
42,41,232,64,0.03237450995096346
43,53,336,64,0.03241267294253943
44,55,324,64,0.037817066366022285
45,40,228,64,0.03250551223754883
46,44,244,64,0.029236728494817562
47,74,500,128,0.02801514316249538
48,40,212,64,0.029487526416778563
49,57,312,64,0.030334242603235077
50,52,264,64,0.02866699145390437
51,41,224,64,0.03486090171627882
52,50,260,64,0.028276190757751465
53,30,124,32,0.032689905166625975
54,26,104,32,0.031162032714256875
55,27,104,32,0.03320310733936451
56,25,116,32,0.035586004257202146
57,53,288,64,0.03497363936226323
58,28,116,32,0.03681430646351406
59,57,308,64,0.031655842797798026
60,50,292,64,0.03410370349884033
61,58,320,64,0.03830898219141467
62,29,124,32,0.036870183615848935
63,71,524,128,0.04444642805717361
64,29,108,32,0.041140054834300076
65,40,228,64,0.042409616708755496
66,41,224,64,0.040057856862137954
67,28,100,32,0.043041774204799106
68,51,308,64,0.04222384153627882
69,28,92,32,0.041256027562277656
70,52,272,64,0.04007500410079956
71,26,108,32,0.041678391970120944
72,56,336,64,0.038371797118868144
73,42,240,64,0.0403163716906593
74,85,596,128,0.038832653270048256
75,53,340,64,0.03921077386388239
76,56,300,64,0.04076160277639117
77,26,96,32,0.039092421531677246
78,49,268,64,0.03503779975735411
79,30,120,32,0.03488593101501465
80,47,260,64,0.031338722147840135
81,28,88,32,0.030408220631735667
82,41,216,64,0.031317396861750904
83,42,236,64,0.03096231392451695
84,27,112,32,0.03610667475947627
85,27,108,32,0.03934231510868779
86,27,100,32,0.03066485016434281
87,43,228,64,0.03365375829297443
88,43,208,64,0.031618201455404595
89,44,236,64,0.030624861066991634
90,41,216,64,0.03112975562491068
91,27,112,32,0.0302329593234592
92,56,292,64,0.030069214957101003
93,39,212,64,0.03162500797173916
94,53,288,64,0.03372510874046469
95,59,320,64,0.03327259370836161
96,41,224,64,0.032743622617023745
97,51,284,64,0.04105185527427524
98,28,100,32,0.04078824179513114
99,48,268,64,0.03967718780040741
100,58,312,64,0.03938852096426076
