game_number,move_count,score,max_tile,avg_move_time_sec
1,27,104,32,0.03359519993817365
2,55,296,64,0.03324319232593883
3,42,224,64,0.035566335632687525
4,27,100,32,0.03507860501607259
5,42,232,64,0.031307407787867954
6,50,284,64,0.03271852016448975
7,55,312,64,0.031047283519398082
8,26,96,32,0.031230843984163724
9,48,264,64,0.031798988580703735
10,26,100,32,0.030863413443932168
11,56,308,64,0.03142485448292324
12,27,116,32,0.03256228235032824
13,39,212,64,0.03226929444533128
14,41,244,64,0.03422514403738627
15,25,92,32,0.03151012420654297
16,29,124,32,0.032212643787778654
17,27,104,32,0.03313177603262442
18,26,96,32,0.03044600670154278
19,42,232,64,0.03202132951645624
20,58,308,64,0.032180967002079404
21,59,300,64,0.031535928532228634
22,25,108,32,0.03171025276184082
23,27,116,32,0.033607138527764216
24,55,308,64,0.03192591667175293
25,40,228,64,0.03135764002799988
26,45,220,64,0.0315746095445421
27,27,124,32,0.0320837762620714
28,52,328,64,0.03218826422324547
29,41,228,64,0.03393427337088236
30,58,304,64,0.03307563683082317
31,56,300,64,0.03253058876310076
32,42,224,64,0.032513607115972606
33,50,272,64,0.03137426853179932
34,25,104,32,0.03211075782775879
35,55,296,64,0.031320931694724344
36,55,312,64,0.032376558130437674
37,49,268,64,0.03265596409233249
38,49,292,64,0.036251350324981065
39,40,204,64,0.03749108910560608
40,55,296,64,0.03422111597928134
41,43,224,64,0.03647286947383437
42,26,108,32,0.038554136569683366
43,48,264,64,0.03526378174622854
44,41,228,64,0.033870854028841345
45,27,116,32,0.03299984225520381
46,39,208,64,0.03522097147428072
47,40,236,64,0.03417705297470093
48,26,112,32,0.03454455962547889
49,43,224,64,0.03732959614243618
50,52,248,64,0.042940997160398044
51,42,236,64,0.03558957009088425
52,57,292,64,0.03309345245361328
53,46,256,64,0.03145867326985235
54,56,300,64,0.03337773254939488
55,24,108,32,0.03518197933832804
56,41,216,64,0.03576428134266923
57,41,216,64,0.037930314133806924
58,49,272,64,0.03702496509162747
59,51,256,64,0.03423877790862439
60,57,300,64,0.03279180694044682
61,60,320,64,0.033943331241607665
62,29,128,32,0.037212051194289636
63,54,284,64,0.034635420198793766
64,27,108,32,0.03409419236359773
65,52,292,64,0.038045406341552734
66,40,216,64,0.034214186668396
67,50,268,64,0.03459475040435791
68,25,112,32,0.036798830032348635
69,25,104,32,0.034489288330078124
70,69,512,128,0.03280612696772036
71,52,268,64,0.03972478096301739
72,43,240,64,0.03711264078007188
73,52,288,64,0.03453057087384737
74,55,280,64,0.03475632234053178
75,27,88,32,0.03660346843578197
76,54,280,64,0.03526383859139902
77,51,296,64,0.03443623524086148
78,55,308,64,0.03470165079290217
79,33,152,32,0.038077961314808235
80,54,280,64,0.04141745302412245
81,55,292,64,0.03753711527044123
82,51,248,64,0.04355828434813256
83,31,120,32,0.04317415914227886
84,44,224,64,0.03550132296302102
85,26,92,32,0.040410793744600736
86,60,308,64,0.03542165756225586
87,30,108,32,0.03940636316935221
88,42,200,64,0.03710231894538516
89,51,284,64,0.03955698480793074
90,27,128,32,0.0425721804300944
91,48,260,64,0.03736425439516703
92,43,228,64,0.03916441562563874
93,43,224,64,0.04229948132537132
94,56,308,64,0.041063078812190464
95,52,288,64,0.038290670284858115
96,25,120,32,0.03826438903808594
97,51,284,64,0.03554516680100385
98,57,312,64,0.03286602204306084
99,55,292,64,0.040783929824829104
100,25,104,32,0.04866107940673828
