game_number,move_count,score,max_tile,avg_move_time_sec
1,25,120,32,0.0402252197265625
2,55,300,64,0.044750243967229666
3,29,112,32,0.03819773114960769
4,40,256,64,0.0331195056438446
5,49,292,64,0.032787381386270326
6,74,508,128,0.03402073963268383
7,41,228,64,0.04560781688224978
8,40,244,64,0.03726281523704529
9,42,248,64,0.034740510441008066
10,27,144,32,0.03737703959147135
11,78,508,128,0.0343619065406995
12,26,112,32,0.03497221836676964
13,55,336,64,0.03507868159901012
14,56,316,64,0.03956204652786255
15,51,316,64,0.04163762634875728
16,56,360,64,0.042879547391619
17,41,280,64,0.042878778969369286
18,57,340,64,0.03952168163500334
19,54,296,64,0.04298803982911287
20,51,272,64,0.03664972267898859
21,51,280,64,0.0443265391331093
22,49,288,64,0.04888134099999253
23,44,252,64,0.04528577761216597
24,57,360,64,0.046491551817509164
25,28,140,32,0.04583886691502163
26,55,304,64,0.04166554104198109
27,57,340,64,0.05166116931982208
28,27,148,32,0.04653685181229203
29,52,328,64,0.0381355148095351
30,43,232,64,0.03878350590550622
31,39,220,64,0.04071887334187826
32,49,320,64,0.040722355550649215
33,45,288,64,0.03559371100531684
34,50,300,64,0.033778538703918455
35,39,220,64,0.036614479162754156
36,27,116,32,0.038634282571298105
37,58,344,64,0.03839356734834869
38,27,116,32,0.041705458252518264
39,42,248,64,0.03750862961723691
40,52,280,64,0.03791023676212017
41,57,360,64,0.039396474235936216
42,53,276,64,0.03448407155162883
43,28,136,32,0.03894310338156564
44,55,316,64,0.04263510270552202
45,41,252,64,0.0446443325135766
46,26,156,32,0.04678767461043138
47,48,252,64,0.0417358527580897
48,48,236,64,0.037172516187032066
49,39,228,64,0.03813099249815329
50,28,132,32,0.03816328729901995
51,39,244,64,0.03826617583250388
52,55,292,64,0.037126294049349695
53,26,140,32,0.036249857682448164
54,42,236,64,0.03932027022043864
55,57,320,64,0.03921735077573542
56,55,308,64,0.037637519836425784
57,72,488,128,0.03837646709548102
58,71,512,128,0.036428159391376336
59,26,116,32,0.03987186688643236
60,53,280,64,0.03580868019247955
61,41,248,64,0.0403569733224264
62,28,144,32,0.04365626403263637
63,27,144,32,0.043290403154161244
64,29,136,32,0.03771350301545242
65,55,324,64,0.03807310191067782
66,51,280,64,0.041464889750761146
67,54,304,64,0.034776515430874295
68,29,136,32,0.035804880076441274
69,27,124,32,0.03652242377952293
70,25,132,32,0.037103700637817386
71,54,324,64,0.043339822027418345
72,26,140,32,0.04297008881202111
73,27,140,32,0.03738004189950449
74,27,120,32,0.03830382559034559
75,41,248,64,0.0369196577769954
76,53,308,64,0.037310816207022035
77,26,136,32,0.04074775255643404
78,41,224,64,0.036941464354352256
79,51,304,64,0.03583812713623047
80,41,252,64,0.037789222670764455
81,29,124,32,0.03913543964254445
82,57,340,64,0.036745452044302955
83,48,288,64,0.03743847211201986
84,27,132,32,0.03745995627509223
85,44,268,64,0.036566414616324684
86,38,280,64,0.03758325074848376
87,41,276,64,0.03982517195910942
88,42,228,64,0.04335401739392962
89,39,216,64,0.041830918727776945
90,50,280,64,0.04034718513488769
91,43,232,64,0.03887620637583178
92,51,344,64,0.04098996461606493
93,45,276,64,0.0393338680267334
94,59,312,64,0.040629795042134945
95,43,228,64,0.0361839726913807
96,42,272,64,0.03777115685599191
97,53,312,64,0.03639244583417785
98,28,116,32,0.036803177424839566
99,29,108,32,0.037268030232396616
100,28,152,32,0.038884494985852926
