game_number,move_count,score,max_tile,avg_move_time_sec
1,25,128,32,0.042276926040649414
2,26,108,32,0.03930967587691087
3,48,304,64,0.039442126949628196
4,55,324,64,0.04031329588456587
5,43,252,64,0.04392669921697572
6,58,328,64,0.039201925540792534
7,51,288,64,0.042956815046422625
8,26,128,32,0.04706000364743746
9,52,304,64,0.0415878754395705
10,26,112,32,0.043752120091364935
11,24,108,32,0.03963633378346761
12,29,140,32,0.03622680696947821
13,51,304,64,0.03475026990853104
14,28,156,32,0.03676977327891758
15,48,260,64,0.038205862045288086
16,26,100,32,0.038919723950899564
17,27,148,32,0.03711688960040057
18,28,140,32,0.03889038733073643
19,44,232,64,0.03612187233838168
20,50,288,64,0.0349164867401123
21,44,268,64,0.03541376373984597
22,40,256,64,0.03622422218322754
23,54,328,64,0.036541219110842106
24,27,128,32,0.04229143813804344
25,55,332,64,0.04426819627935236
26,50,308,64,0.042944636344909665
27,26,136,32,0.043156055303720325
28,54,280,64,0.0355154761561641
29,40,256,64,0.039541810750961304
30,41,248,64,0.038004747251184974
31,55,336,64,0.03778267340226607
32,53,312,64,0.039007375825126214
33,43,244,64,0.03789933337721714
34,52,260,64,0.037752591646634616
35,27,128,32,0.04274052160757559
36,52,300,64,0.03621386106197651
37,55,312,64,0.03678320971402255
38,39,232,64,0.03731056360098032
39,55,328,64,0.03610478747974743
40,43,220,64,0.036006239957587664
41,28,136,32,0.040593930653163364
42,27,132,32,0.041134039560953774
43,42,216,64,0.037835705847967235
44,30,140,32,0.04074273109436035
45,58,300,64,0.03417302000111547
46,55,304,64,0.035900718515569516
47,56,292,64,0.03724106294768197
48,53,316,64,0.03662383331442779
49,42,268,64,0.039130931808834986
50,50,296,64,0.03677461624145508
51,47,316,64,0.03916335105895996
52,49,272,64,0.03652681623186384
53,43,268,64,0.041022101113962574
54,26,132,32,0.03991388357602633
55,55,340,64,0.04206026250665838
56,52,304,64,0.03610996099618765
57,57,352,64,0.034771145435801724
58,42,240,64,0.03701178232828776
59,27,140,32,0.03867685353314435
60,41,220,64,0.03610060273147211
61,30,140,32,0.03784182071685791
62,28,148,32,0.03969740016119821
63,51,284,64,0.036461498223099055
64,46,304,64,0.035501106925632644
65,53,296,64,0.03716100386853488
66,27,116,32,0.037747356626722545
67,39,216,64,0.038607108287322216
68,52,284,64,0.03839656939873329
69,56,308,64,0.036011721406664164
70,40,236,64,0.03946132659912109
71,30,144,32,0.048293137550354005
72,50,288,64,0.04031440258026123
73,30,124,32,0.0438414732615153
74,50,276,64,0.03966170310974121
75,27,120,32,0.044532590442233615
76,58,312,64,0.03771822616971772
77,28,132,32,0.04423534870147705
78,55,316,64,0.03897620114413175
79,48,256,64,0.04209716618061066
80,39,236,64,0.042958528567583136
81,72,500,128,0.03686460521486071
82,57,324,64,0.04095947115044845
83,39,204,64,0.041702839044424206
84,58,296,64,0.03769120676764127
85,57,308,64,0.0389449303610283
86,27,128,32,0.038884136411878795
87,44,248,64,0.03693282604217529
88,48,328,64,0.03691849112510681
89,24,112,32,0.03908414642016093
90,52,244,64,0.03704250775850736
91,26,124,32,0.037438429318941556
92,51,304,64,0.03725574998294606
93,41,244,64,0.03756639434070122
94,54,324,64,0.03670572351526331
95,26,100,32,0.040596760236299954
96,27,140,32,0.0397667266704418
97,54,332,64,0.035556161845171894
98,41,256,64,0.0422356070541754
99,57,324,64,0.04108933816876328
100,56,324,64,0.03991500820432391
