game_number,move_count,score,max_tile,avg_move_time_sec
1,91,120,128,0.016484053580315558
2,175,284,256,0.017896619524274553
3,112,108,128,0.01632849872112274
4,113,156,128,0.016093167583499334
5,114,148,128,0.0159600952215362
6,116,144,128,0.01757991519467584
7,58,60,64,0.017563474589380724
8,117,196,128,0.016501055823432073
9,54,40,64,0.016535767802485713
10,97,88,128,0.01624180852752371
11,114,152,128,0.01734445387857002
12,113,168,128,0.0163570505327883
13,43,64,64,0.016710752664610397
14,115,164,128,0.01621341912642769
15,56,80,64,0.016489910227911814
16,80,172,128,0.016160169243812562
17,113,124,128,0.01809853368100867
18,116,148,128,0.016738085911191743
19,110,140,128,0.01647561246698553
20,57,80,64,0.016711452551055373
21,110,156,128,0.01633942343971946
22,112,160,128,0.0173958135502679
23,112,200,128,0.015788763761520386
24,166,324,256,0.01539177348814815
25,110,140,128,0.015533572977239436
26,169,256,256,0.016100647886829262
27,113,192,128,0.01597053814778286
28,114,172,128,0.015361562109830086
29,29,28,32,0.016239141595774685
30,113,144,128,0.015463875458303807
31,114,180,128,0.01713135367945621
32,110,204,128,0.016041254997253417
33,88,104,128,0.01567675308747725
34,59,28,64,0.015719300609523968
35,114,124,128,0.015522883649457964
36,110,196,128,0.01593417687849565
37,170,260,256,0.016125753346611472
38,112,156,128,0.015491615448679243
39,107,164,128,0.015508248427203882
40,114,180,128,0.015525234372992264
41,115,132,128,0.016841175245202105
42,111,152,128,0.015596894530562667
43,115,152,128,0.0155111955559772
44,59,92,64,0.015512914980872202
45,114,172,128,0.01547237655572724
46,121,152,128,0.017384777384356034
47,52,52,64,0.016494627182300273
48,27,24,32,0.016226168032045716
49,115,120,128,0.015725863498190176
50,116,156,128,0.015760612898859484
51,83,60,128,0.015700389103717113
52,115,116,128,0.01697331718776537
53,111,164,128,0.015846218074764218
54,87,112,128,0.015601133478098902
55,101,180,128,0.01565758544619721
56,58,108,64,0.015626660708723396
57,82,112,128,0.016407289156099646
58,111,192,128,0.015953111218976544
59,114,136,128,0.01569527492188571
60,56,64,64,0.01563666122300284
61,73,112,128,0.015536847179883148
62,43,52,64,0.015724514805993368
63,115,176,128,0.015354602233223293
64,101,76,128,0.01755929937457094
65,55,140,64,0.01645289334383878
66,109,140,128,0.015533414455728794
67,118,136,128,0.015585715487851934
68,83,60,128,0.01592435032488352
69,56,52,64,0.01582375168800354
70,113,128,128,0.01737336563853036
71,112,116,128,0.016949455652918135
72,47,64,64,0.016815418892718377
73,110,136,128,0.01618102247064764
74,112,132,128,0.01579777044909341
75,111,116,128,0.0171085499428414
76,115,208,128,0.016072285693624747
77,106,120,128,0.016069272779068857
78,113,172,128,0.015988193782029952
79,114,128,128,0.016802183368749786
80,112,140,128,0.017294841153281077
81,116,244,128,0.015655174337584395
82,114,132,128,0.016479816353111937
83,115,200,128,0.01664077717324962
84,86,104,128,0.017727424932080647
85,119,104,128,0.016873750366082713
86,98,168,128,0.016810825892857144
87,108,164,128,0.01545160346561008
88,113,212,128,0.016211340912675436
89,116,196,128,0.016130805015563965
90,112,184,128,0.015781332339559282
91,120,184,128,0.01536144216855367
92,111,124,128,0.015304556838026992
93,96,140,128,0.017756439745426178
94,84,80,128,0.016089169752030147
95,51,100,64,0.016411346547743854
96,108,116,128,0.01583589227111251
97,115,148,128,0.01579856250597083
98,114,136,128,0.015946517910873682
99,117,148,128,0.016737603733682226
100,109,144,128,0.016092005125973204
