game_number,move_count,score,max_tile,avg_move_time_sec
1,134,684,128,0.04073121832377875
2,127,528,128,0.04058940955034391
3,218,1136,256,0.043166570707198676
4,205,888,256,0.03931530743110471
5,183,868,256,0.030903186954435755
6,304,2504,512,0.03224508778045052
7,130,592,128,0.03700459737044114
8,231,860,256,0.032831911400799114
9,223,1236,256,0.03029772839738649
10,222,1016,256,0.035387173429265756
11,212,1000,256,0.04280105626808023
12,210,712,256,0.03482794648125058
13,174,876,256,0.03311819180674937
14,239,844,256,0.035406691259918854
15,122,420,128,0.038620772908945555
16,234,984,256,0.029458195735246707
17,120,620,128,0.049956818421681724
18,77,292,64,0.04428748960618849
19,226,1116,256,0.03808630251251491
20,188,772,256,0.030083916288741092
21,128,440,128,0.04234988987445831
22,193,796,256,0.03507461572558151
23,223,764,256,0.031130875172636435
24,122,708,128,0.041591112730933015
25,124,408,128,0.04586156529764975
26,127,572,128,0.03705669200326514
27,104,532,128,0.04774416868503277
28,122,456,128,0.04291900845824695
29,144,584,128,0.03496486941973368
30,128,476,128,0.039272651076316833
31,104,452,128,0.04743887369449322
32,176,1180,256,0.04305674677545374
33,95,424,128,0.04716616429780659
34,187,696,256,0.03923485495827415
35,113,424,128,0.03599143450239063
36,109,428,128,0.04127613995053352
37,226,1076,256,0.02892358640653897
38,327,1572,512,0.03098399850571192
39,127,596,128,0.03842700184799555
40,181,772,256,0.03538491185857446
41,109,556,128,0.039904981578161955
42,130,664,128,0.03715957861680251
43,124,584,128,0.038990030365605506
44,176,1044,256,0.03503997759385542
45,172,864,256,0.03851037385851838
46,62,224,64,0.04560188324220719
47,178,740,256,0.04314260536365295
48,116,560,128,0.05155183734564946
49,235,1204,256,0.03913715950986172
50,127,552,128,0.05005692121550793
51,250,1224,256,0.035035154342651365
52,189,1096,256,0.04020705298771934
53,104,688,128,0.050913100059215836
54,70,272,64,0.05005885532924107
55,199,1224,256,0.04241974868966107
56,161,828,256,0.04569853314701815
57,123,576,128,0.05001178214220497
58,294,2068,512,0.034461752087080556
59,237,776,256,0.034941367459196584
60,207,872,256,0.0366390695894398
61,190,1096,256,0.038459091437490364
62,132,440,128,0.04204264915350712
63,219,1220,256,0.033744837051112905
64,228,1088,256,0.03351078535381116
65,95,452,128,0.05116965896204898
66,117,692,128,0.049915289267515525
67,221,1296,256,0.039636331446030564
68,184,772,256,0.04162527556004732
69,197,764,256,0.033587914432971
70,121,476,128,0.046449446481121474
71,133,452,128,0.03938338989601996
72,117,464,128,0.0466308288085155
73,240,972,256,0.03203221062819163
74,126,676,128,0.05212762053050692
75,120,604,128,0.04140564203262329
76,201,1212,256,0.03738424078148989
77,201,1184,256,0.039465879326436054
78,121,608,128,0.04698435334134693
79,133,536,128,0.04325580596923828
80,233,1176,256,0.03612818226793805
81,328,2684,512,0.03502179500533313
82,222,964,256,0.03745160124323389
83,174,712,256,0.042239448119854105
84,246,1028,256,0.04077065184833557
85,210,912,256,0.04245499088650658
86,176,636,256,0.04262348467653448
87,127,576,128,0.043321769068560265
88,227,1252,256,0.03706907700862128
89,317,1160,512,0.0371980403876079
90,232,880,256,0.03744788827567265
91,228,640,256,0.03885949076267711
92,98,448,128,0.05131681354678407
93,236,1032,256,0.03605923208139711
94,118,328,128,0.05020114931009584
95,117,420,128,0.044164227624224804
96,208,940,256,0.03505018582710853
97,227,912,256,0.03610944537864383
98,410,2640,512,0.03229364069496713
99,231,1368,256,0.040689225836749714
100,117,396,128,0.0518640860533103
