game_number,move_count,score,max_tile,avg_move_time_sec
1,121,568,128,0.013181343551509636
2,120,568,128,0.012785943349202473
3,218,1188,256,0.011942230233358681
4,217,812,256,0.011302797475718133
5,122,560,128,0.01328646354987973
6,182,720,256,0.011110195746788612
7,185,640,256,0.011382761517086545
8,66,316,64,0.015137231711185339
9,184,1028,256,0.01005301138629084
10,174,1008,256,0.011471519525023713
11,230,796,256,0.01088660488957944
12,108,816,128,0.014123024763884369
13,120,452,128,0.01169259548187256
14,127,548,128,0.011814447838490404
15,128,540,128,0.013187317177653313
16,229,960,256,0.009731256285088552
17,213,1284,256,0.011631239188109205
18,136,884,128,0.013152574791627772
19,298,1236,512,0.011102607586239809
20,185,1032,256,0.012577190914669552
21,124,628,128,0.014624616792125086
22,124,672,128,0.014464541789024107
23,229,1036,256,0.010489459641635678
24,134,544,128,0.011165152734784937
25,99,284,128,0.011913429607044567
26,237,1472,256,0.01053171218196048
27,123,488,128,0.012522906791873095
28,205,888,256,0.010170612102601586
29,123,728,128,0.01149364215571706
30,123,628,128,0.012305407020134655
31,131,428,128,0.011925739186410685
32,131,616,128,0.014396560101108697
33,209,944,256,0.010628334072788367
34,180,696,256,0.011688278781043159
35,231,1176,256,0.012801109454332492
36,170,668,256,0.013794238427106071
37,122,648,128,0.015422828861924469
38,121,432,128,0.016057304114349618
39,121,636,128,0.0172866770058624
40,210,1164,256,0.012351938656398229
41,179,932,256,0.014650490030896064
42,129,476,128,0.013245776642200559
43,108,352,128,0.014100816514756944
44,120,644,128,0.01402552326520284
45,205,924,256,0.011882970391250238
46,171,880,256,0.012751209805583396
47,68,184,64,0.01432727014317232
48,124,764,128,0.011096414058439193
49,116,524,128,0.012866256565883243
50,120,560,128,0.012628622849782308
51,171,1132,256,0.01247226703933805
52,104,420,128,0.01267499877856328
53,185,924,256,0.012152040326917494
54,120,412,128,0.012147114674250285
55,113,556,128,0.012789274738953176
56,218,968,256,0.010468785915899715
57,120,552,128,0.011657464504241943
58,211,820,256,0.011193105959779279
59,275,1416,512,0.011155369498512962
60,188,1132,256,0.013695308502684248
61,287,1544,512,0.010232437778433025
62,112,520,128,0.013846348438944136
63,284,1292,512,0.010948874581028039
64,119,468,128,0.013406935860128963
65,126,604,128,0.013818712461562384
66,198,824,256,0.012780321968926324
67,126,588,128,0.014562557614038862
68,129,624,128,0.013517605241879012
69,198,808,256,0.012862812389026989
70,118,464,128,0.013395293284270722
71,206,1068,256,0.011396050453186035
72,128,728,128,0.012706290930509567
73,183,1188,256,0.011106982257196812
74,201,888,256,0.012115375319523598
75,120,664,128,0.014800860484441122
76,118,468,128,0.013777027695865954
77,125,432,128,0.012725400924682616
78,179,772,256,0.010961531260826067
79,228,1068,256,0.01076318297469825
80,210,856,256,0.011226839110964821
81,99,308,128,0.014299527563229955
82,134,544,128,0.012830721798227794
83,124,496,128,0.014285387531403572
84,109,576,128,0.013700316805358327
85,216,996,256,0.009416680645059657
86,172,628,256,0.01304263569587885
87,128,504,128,0.013311563059687614
88,207,1284,256,0.012690583288957532
89,224,1292,256,0.014317294316632407
90,174,680,256,0.014106692938969052
91,202,784,256,0.012096500632786516
92,176,1112,256,0.011915817856788635
93,120,588,128,0.011521836121877035
94,120,412,128,0.012873627742131551
95,182,1076,256,0.01170626577440199
96,117,480,128,0.012749616916363057
97,118,912,128,0.014460482839810647
98,228,1316,256,0.010142541768258078
99,117,280,128,0.013813642355111929
100,222,984,256,0.01572223289592846
