game_number,move_count,score,max_tile,avg_move_time_sec
1,66,244,64,0.0007460370208277847
2,113,328,128,0.0006139067421972224
3,105,328,128,0.0005515984126499721
4,67,340,64,0.0005849831139863427
5,109,408,128,0.0005397009193350415
6,94,412,128,0.0005290406815549161
7,64,180,64,0.0005119703710079193
8,174,636,256,0.00045285416745591435
9,60,168,64,0.0005187392234802246
10,70,172,64,0.0005736180714198522
11,98,404,128,0.0005212389692968251
12,88,304,128,0.00048691847107627177
13,59,212,64,0.000554331278396865
14,57,224,64,0.0006623477266545882
15,68,212,64,0.0005671767627491671
16,106,264,128,0.0006442002530367869
17,76,272,64,0.0006212592124938965
18,97,252,128,0.0005957392073169197
19,64,256,64,0.0007051154971122742
20,102,356,128,0.0006836793001960305
21,67,248,64,0.0007430048131231052
22,72,268,64,0.0006664428446027967
23,167,760,256,0.0005987718433677079
24,88,344,128,0.0006005140868100253
25,88,260,128,0.0006669136610898105
26,61,112,64,0.0006363548216272573
27,122,548,128,0.0006337361257584368
28,115,380,128,0.000606586622155231
29,49,172,64,0.0006706763286979832
30,60,152,64,0.0007085522015889485
31,93,224,128,0.0006212393442789713
32,63,276,64,0.0006826378050304594
33,93,272,128,0.0006441377824352633
34,110,324,128,0.0005808093331076882
35,118,516,128,0.0005413111993822
36,97,432,128,0.0005553039078859939
37,41,152,32,0.0006571513850514482
38,119,308,128,0.000537958465704397
39,108,428,128,0.0005747786274662724
40,80,324,64,0.0005907505750656128
41,74,204,64,0.0005338320860991607
42,63,184,64,0.0005696841648646764
43,112,364,128,0.0006071307829448155
44,94,264,128,0.000577967217627992
45,70,256,64,0.0006199393953595843
46,40,124,32,0.0006453812122344971
47,66,152,64,0.0006042357647057736
48,107,356,128,0.000537270697477822
49,92,372,128,0.00136842157529748
50,66,280,64,0.001213167652939305
51,127,444,128,0.0011624952000895822
52,89,364,128,0.0011997544363643346
53,67,240,64,0.0014353332234852349
54,63,276,64,0.0013703315977066281
55,148,976,256,0.0012587341102393897
56,63,280,64,0.0014781422085232204
57,93,328,128,0.0012788926401445942
58,98,644,128,0.0010887481728378608
59,72,220,64,0.0011124776469336615
60,41,96,32,0.0014829868223608994
61,103,260,128,0.0009469129506824086
62,118,328,128,0.0010764942330829168
63,88,344,128,0.0009683072566986084
64,90,532,128,0.0012276940875583224
65,73,260,64,0.001395382293283123
66,64,168,64,0.0011900588870048523
67,55,212,64,0.0015685341574928977
68,96,404,128,0.001262533167997996
69,69,212,64,0.0008974870045979818
70,61,144,64,0.0009678074570952869
71,62,196,64,0.0014663703979984407
72,73,140,64,0.001189349448844178
73,101,544,128,0.0010399063034813004
74,41,100,32,0.001345977550599633
75,38,84,32,0.0009570309990330747
76,75,144,64,0.0008867486317952474
77,54,120,64,0.000882320933871799
78,70,180,64,0.0012594188962663923
79,107,280,128,0.0010342687089866568
80,56,180,64,0.0009074934891292027
81,60,304,64,0.0014487902323404949
82,120,396,128,0.001019434134165446
83,62,160,64,0.0015791962223668252
84,98,340,128,0.0010412079947335379
85,73,192,64,0.001630218061682296
86,66,232,64,0.0015607024684096828
87,66,296,64,0.0018299203930479107
88,109,400,128,0.0014299230838040694
89,63,160,64,0.0010523531172010633
90,91,460,128,0.0013520979619288183
91,70,240,64,0.0008893898555210659
92,69,244,64,0.0012112320333287337
93,68,276,64,0.0013005207566653982
94,61,268,64,0.0009759019632808498
95,86,272,64,0.0008746912313062091
96,62,260,64,0.0014268928958523657
97,61,184,64,0.0014839133278268283
98,82,324,128,0.001019160921980695
99,99,424,128,0.001311001151499122
100,94,280,128,0.0012716080280060463
