game_number,move_count,score,max_tile,avg_move_time_sec
1,465,3228,512,0.011604690039029685
2,455,3300,512,0.010872738177959735
3,461,3224,512,0.010763941514517894
4,689,5664,1024,0.009809433808347484
5,435,3136,512,0.011087457613013257
6,697,5716,1024,0.01000262298748175
7,401,2992,512,0.011098689271922124
8,805,6128,1024,0.009590119012394307
9,458,3344,512,0.010590088419518617
10,471,3256,512,0.0108787780607835
11,404,2924,512,0.01128461750427095
12,466,3252,512,0.010785073169822856
13,467,3332,512,0.010498981659621702
14,460,3280,512,0.010834889308266017
15,781,6640,1024,0.009582388568931902
16,676,5488,1024,0.010020833396347316
17,341,2588,512,0.011676826085512938
18,644,5480,1024,0.010468420404825152
19,343,2604,512,0.011451961000181149
20,451,3168,512,0.011010857749143883
21,458,3224,512,0.010710586626977379
22,461,3308,512,0.010089651881484819
23,477,3180,512,0.010722585694095123
24,431,3220,512,0.010940535715727132
25,463,3300,512,0.010816506124212212
26,477,3224,512,0.010646036835836415
27,347,2532,512,0.011676472270866637
28,335,2524,512,0.01144929359208292
29,466,3376,512,0.010737627872581645
30,847,6660,1024,0.009330758519268373
31,676,5644,1024,0.009988616204120703
32,342,2536,512,0.011671992073282164
33,231,1516,256,0.012776004287587616
34,231,1484,256,0.012748083510956206
35,455,3300,512,0.010858406339372908
36,747,5988,1024,0.010016681359634502
37,463,3204,512,0.010454016164363589
38,472,3368,512,0.010701416912725416
39,693,5860,1024,0.010115319688254793
40,405,2952,512,0.011363114251030816
41,460,3304,512,0.010892065711643384
42,462,3340,512,0.010777660778590612
43,448,3200,512,0.010676857616220201
44,473,3332,512,0.010574647790533796
45,465,3400,512,0.010466292596632435
46,440,3160,512,0.010799863121726296
47,210,1372,256,0.013076632363455637
48,705,5840,1024,0.010368813859655502
49,689,5724,1024,0.010203697857905196
50,584,4992,1024,0.01053787502523971
51,696,5984,1024,0.010139673263177105
52,472,3164,512,0.01095382692450184
53,459,3384,512,0.010325073416716133
54,232,1384,256,0.012254025401740238
55,459,3144,512,0.010538295463279442
56,466,3288,512,0.010859109813051673
57,149,1008,256,0.013914417100432735
58,442,3220,512,0.010832819463980145
59,470,3324,512,0.010781539754664645
60,635,5024,1024,0.010068069292804387
61,467,3360,512,0.010845263458676715
62,117,688,128,0.014682105463794153
63,350,2496,512,0.011596814564296178
64,448,3260,512,0.01038033195904323
65,464,3348,512,0.010643044422412741
66,462,3144,512,0.01072588163020807
67,626,5388,1024,0.01011651506820045
68,663,5708,1024,0.010402532364628073
69,459,3108,512,0.010672769255627735
70,234,1444,256,0.012391249338785807
71,411,2928,512,0.011129671639769616
72,353,2600,512,0.011498775428145196
73,669,5760,1024,0.01029011914548318
74,801,6344,1024,0.009693592526344176
75,434,3220,512,0.011374246140229537
76,227,1440,256,0.01241675662574264
77,703,5632,1024,0.0101429263015899
78,474,3400,512,0.010849290256258807
79,471,3264,512,0.010742320629694912
80,461,3276,512,0.011079703908163142
81,463,3260,512,0.010613729320386059
82,430,3016,512,0.011023167122242062
83,461,3276,512,0.010672267243557017
84,232,1468,256,0.012387495616386676
85,413,2996,512,0.011756741683073252
86,467,3312,512,0.010833665696660763
87,883,7028,1024,0.009319476876091444
88,455,3272,512,0.010447629991468492
89,464,3336,512,0.010951768735359454
90,700,5500,1024,0.009971386023930141
91,576,5252,1024,0.011016856051153608
92,237,1596,256,0.012483887531586337
93,230,1440,256,0.012651938977448837
94,458,3308,512,0.011071121848826845
95,462,3420,512,0.011026813354327048
96,466,3312,512,0.011023785423311552
97,688,5716,1024,0.010196832376857137
98,458,3244,512,0.010858711717430681
99,447,3064,512,0.010330487151007258
100,481,3232,512,0.011084548648826298
