game_number,move_count,score,max_tile,avg_move_time_sec
1,112,140,128,0.03864624883447375
2,110,156,128,0.03699984767220237
3,33,40,32,0.04153567371946393
4,77,140,128,0.040147586302323776
5,117,184,128,0.039599746720403686
6,80,112,128,0.037480035424232484
7,69,92,64,0.038275262583856995
8,113,180,128,0.03371031305431265
9,125,212,128,0.03536150169372559
10,110,172,128,0.03536738915876909
11,110,156,128,0.03467203053561124
12,111,164,128,0.034196836454374296
13,107,184,128,0.034217163781139336
14,76,80,128,0.036405983724092185
15,115,168,128,0.03463144095047661
16,117,200,128,0.037624805401533075
17,154,172,256,0.04027469591660933
18,102,212,128,0.03624442979401233
19,82,84,128,0.035673650299630516
20,107,144,128,0.04028913239452327
21,66,100,64,0.04212161266442501
22,97,100,128,0.04280450663615748
23,61,92,64,0.04296798784224713
24,153,276,256,0.038943117740107516
25,103,112,128,0.038573052119282844
26,113,144,128,0.037211508877509465
27,87,152,128,0.038203590217678024
28,203,300,256,0.03739899367534468
29,87,80,128,0.03813986120552852
30,95,136,128,0.03704973020051655
31,180,276,256,0.037563349141014946
32,156,200,256,0.034076351385850176
33,124,172,128,0.034556277336612824
34,69,92,64,0.03426013822140901
35,113,204,128,0.03483691257713115
36,59,72,64,0.03846258632207321
37,111,152,128,0.04128355378503198
38,56,84,64,0.0458736036505018
39,38,48,32,0.04410445690155029
40,208,324,256,0.038711716349308305
41,111,228,128,0.03393062814935908
42,118,184,128,0.03747777615563344
43,98,236,128,0.035141173674135794
44,101,140,128,0.034310588742246725
45,193,284,256,0.033481936380653186
46,88,104,128,0.03679800304499539
47,91,92,128,0.035640218755701086
48,119,192,128,0.03320797551579836
49,124,188,128,0.03269515498991935
50,102,176,128,0.03763273650524663
51,90,104,128,0.04794542524549696
52,184,384,256,0.03721002003420954
53,100,124,128,0.041457221508026124
54,116,164,128,0.03806451271320212
55,57,92,64,0.03826643709550824
56,149,336,256,0.0346498057346216
57,155,244,256,0.03530229599245133
58,113,180,128,0.034991802367488896
59,121,172,128,0.04197503909591801
60,54,84,64,0.041812393400404185
61,53,92,64,0.039862106431205316
62,109,172,128,0.03831843498649947
63,53,56,64,0.0420471857178886
64,108,196,128,0.04293053459238123
65,91,116,128,0.03713777301075694
66,66,80,64,0.0395966370900472
67,106,152,128,0.03728180561425551
68,107,156,128,0.03686243797017035
69,158,224,256,0.03645534756817395
70,71,108,64,0.03947901054167412
71,68,100,64,0.03617972836774938
72,62,52,64,0.040353590442288305
73,92,124,128,0.039060509723165764
74,56,88,64,0.038192161491939
75,64,124,64,0.039282772690057755
76,59,52,64,0.0394026667384778
77,112,188,128,0.037659057549067905
78,160,232,256,0.03871973901987076
79,92,112,128,0.04323893008024796
80,62,120,64,0.04202932311642554
81,146,236,256,0.038193013570080064
82,53,92,64,0.03904150566964779
83,87,108,128,0.03939379220721365
84,78,116,128,0.040718433184501454
85,57,76,64,0.04304241715816029
86,90,96,128,0.038994929525587294
87,96,148,128,0.04082918167114258
88,99,164,128,0.04242946884848855
89,65,72,64,0.039104868815495415
90,67,92,64,0.03845460735150238
91,200,412,256,0.04085082888603211
92,169,252,256,0.04557566388824282
93,62,104,64,0.049326319848337484
94,113,164,128,0.047470632907563606
95,118,204,128,0.04361203767485538
96,79,164,64,0.04748434054700634
97,65,96,64,0.04571721003605769
98,79,164,128,0.04962893377376508
99,50,48,64,0.04938436985015869
100,117,168,128,0.04523797524281037
