game_number,move_count,score,max_tile,avg_move_time_sec
1,845,2704,1024,0.34505402124845064
2,895,2328,1024,0.33865655174468484
3,727,2736,1024,0.38224243363455207
4,727,3300,1024,0.4049352254959379
5,753,2084,1024,0.3367083025168613
6,505,1804,512,0.4338253167596194
7,836,2344,1024,0.3105796144909836
8,677,2504,1024,0.38084375699830725
9,687,3308,1024,0.40815388097860233
10,702,3068,1024,0.3565067935872961
11,511,1716,512,0.36155807482053154
12,516,2592,512,0.45461661501448286
13,605,1968,1024,0.3984657784138829
14,995,3412,1024,0.2895112152674689
15,470,1664,512,0.3963487762085935
16,846,3960,1024,0.3347997558314186
17,638,3364,1024,0.41713975664216524
18,621,3112,1024,0.39270355582429206
19,788,3288,1024,0.3197649275590926
20,485,1640,512,0.44794792489907176
21,721,2324,1024,2.920252561238536
22,492,1704,512,0.42493705778587154
23,930,3412,1024,0.30144397956068797
24,262,624,256,0.5618354082107544
25,1069,7488,2048,0.28086341732121495
26,450,1872,512,0.43324597941504583
27,511,1840,512,0.3863208144611575
28,737,2028,1024,0.33039858092123003
29,633,2044,512,0.3506691904052927
30,661,3668,1024,0.3439059805761848
31,519,1668,512,0.37692969199090565
32,861,3288,1024,0.3433904935812424
33,731,2032,1024,0.3741641873047877
34,547,1884,512,0.3996336508058761
35,1210,4416,2048,0.25710908420814954
36,872,3192,1024,0.36584433339057715
37,971,3780,1024,0.2577533589332651
38,515,1996,512,0.37362298178441317
39,663,2412,1024,0.34305794098797965
40,794,3592,1024,0.3327938069024074
41,617,2756,1024,0.39455683343414355
42,963,2896,1024,0.28524777451036876
43,508,1732,512,0.4445129942706251
44,504,2040,512,0.44133233692910934
45,722,3004,1024,0.3557492590346825
46,958,3608,1024,0.3036084784844225
47,883,3116,1024,0.29180583057425163
48,518,1972,512,0.39251445481215663
49,440,1960,512,0.4719425006346269
50,913,4172,1024,0.330354639891074
51,961,2976,1024,0.3298394913231793
52,503,1920,512,0.40488143327458953
53,487,1480,512,0.39701016336006306
54,439,1280,512,0.4609425578410642
55,516,1976,512,0.44880653444186663
56,902,3620,1024,0.3167191138552985
57,456,2208,512,0.43087404757215264
58,670,2264,1024,0.4222360183943563
59,551,1844,512,0.38042033822047516
60,496,1464,512,0.393714050612142
61,1225,3164,2048,0.29237318486583475
62,500,1760,512,0.41100551652908324
63,521,2676,512,0.39962310571359355
64,734,3700,1024,0.3884836844592393
65,718,2544,1024,0.3526018608911456
66,264,1056,256,0.5805303364089041
67,930,2960,1024,0.2899062164368168
68,714,1924,1024,0.31798498036146833
69,902,2888,1024,0.3035548891037901
70,740,2248,1024,0.3939951899889353
71,279,680,256,0.5791711755978164
72,487,1412,512,0.3805322402311791
73,493,1544,512,0.3962173302323533
74,622,1752,1024,0.39278598077044224
75,739,2064,1024,0.35392369469060625
76,590,1480,512,0.2897150763010575
77,656,1732,1024,0.3739659669922619
78,1072,3644,2048,0.3060015053001802
79,627,2180,1024,0.3648153416087563
80,637,3000,1024,0.4154216655569511
81,503,1984,512,0.38345964481057987
82,536,1864,512,0.39900933539689476
83,882,3348,1024,0.299857778884386
84,684,3120,1024,0.39589181943246493
85,855,3684,1024,0.34236613909403485
86,651,2360,1024,0.3774925468521001
87,718,1932,1024,0.36977507875490323
88,891,2280,1024,0.36234330435259443
89,513,1456,512,0.4181816266526488
90,794,2088,1024,0.3346702403926129
91,706,2720,1024,0.3980543545893164
92,418,1756,512,0.42557637086895667
93,976,3808,1024,0.30489615754025884
94,964,3816,1024,0.2851001823096849
95,837,2796,1024,0.3325683922465699
96,687,2624,1024,0.3542555832619924
97,783,3468,1024,0.31124119374943876
98,700,2840,1024,0.39596249410084317
99,724,2204,1024,0.38593185902959076
100,855,2924,1024,0.3291366535320617
